,concept,deps
1051,Set-builder notation,"['notation', 'set', 'element']"
1052,WKB approximation,"['set', 'function', 'inverse']"
1053,History of mathematical notation,"['collection', 'rule', 'symbol']"
1054,Greatest common divisor,"['digit', 'number', 'ratio']"
1055,Row and column vectors,"['line segment', 'quantity', 'vector']"
1056,Binomial theorem,"['prime number', 'square', 'number']"
1057,Principal ideal,"['set', 'number', 'inverse']"
1058,Triangulation (surveying),"['measure', 'angle', 'distance']"
1059,Number line,"['line', 'segment', 'plane']"
1060,Degenerate bilinear form,"['group', 'form', 'combination']"
1061,Solver,"['algorithm', 'problem', 'solve']"
1062,Conductor (class field theory),"['field', 'theory', 'particle']"
1063,Polygon triangulation,"['polygon', 'line', 'vertex']"
1064,Spectrum (disambiguation),"['set', 'function', 'value']"
1065,Computational complexity of matrix multiplication,"['matrix', 'multiplication']"
1066,Computational complexity of mathematical operations,"['Computational complexity', 'time', 'arithmetic']"
1067,Precision (computer science),"['arithmetic', 'measure', 'computation']"
1068,Separable space,"['set', 'space', 'element']"
1069,Integral,"['set', 'element', 'sum']"
1070,Slope,"['line', 'x-axis', 'perpendicular']"
1071,Outer product,"['product', 'product', 'product line']"
1072,Complex conjugate,"['complex number', 'real number']"
1073,Alex Sink,"['number', 'orchestra', 'symphony']"
1074,Quadratic form,"['polynomial', 'square', 'sum']"
1075,Fraction,"['ratio', 'ratios', 'number']"
1076,Addition principle,"['product', 'element', 'sum']"
1077,Normalizing constant,['a constant that is used to normalize the data']
1078,Dieudonné determinant,"['polynomial', 'determinant', 'polynomial function']"
1079,Backslash,"['character', 'character string', 'character']"
1080,Real projective plane,"['y-axis', 'x-axis']"
1081,Eros (concept),"['symbiosis', 'organism', 'relationship']"
1082,Vector notation,"['notation', 'vector', 'notation']"
1083,Constant-recursive sequence,"['sequence', 'element', 'sum']"
1084,Geometric calculus,"['differential equation', 'function', 'variable']"
1085,Commutative property,"['property', 'group', 'element']"
1086,Pythagoras,"['length', 'side', 'triangle']"
1087,GJMS operator,"['product', 'vector', 'scalar']"
1088,Spectral theorem,"['theorem', 'function', 'frequency']"
1089,Totally positive matrix,"['matrix', 'element', 'matrix']"
1090,Cayley transform,"['order', 'preserve', 'transformation']"
1091,Incomplete Cholesky factorization,"['polynomial', 'factorization', 'polynomial']"
1092,Schauder basis,"['basis', 'set', 'polynomial']"
1093,Factor theorem,"['degree n', 'polynomial', 'factor']"
1094,Cartan matrix,"['matrix', 'identity', 'element']"
1095,Orthogonal array,"['set', 'pattern', 'element']"
1096,Four color theorem,"['theorem', 'set', 'number']"
1097,Bracket,"['line', 'point', 'intersect']"
1098,Shift space,"['metric', 'space', 'point']"
1099,Primary decomposition,"['fraction', 'substance', 'part']"
1100,Homogeneous space,"['space', 'point', 'type']"
1101,Krylov subspace,"['subspace', 'Hilbert space', 'function']"
1102,Formal calculation,"['process', 'step', 'series']"
1103,Dyadic rational,"['prime number', 'rational number']"
1104,Direct sum of groups,"['group', 'element', 'set']"
1105,Knot (mathematics),"['polygon', 'knot', 'vertices']"
1106,Homology (mathematics),"['set', 'axiom', 'object']"
1107,Bounded operator,"['domain', 'function', 'argument']"
1108,Outcome (probability),"['event', 'probability', 'occur']"
1109,Indian mathematics,"['arithmetic', 'geometry', 'and algebra']"
1110,Stochastic matrix,"['matrix', 'element', 'distribution']"
1111,Roger Penrose,"['theorem', 'theorem proving', 'mathematician']"
1112,Locally nilpotent derivation,"['derivation', 'function', 'nilpotent']"
1113,Convex set,"['set', 'curve', 'point']"
1114,Affine transformation,"['transformation', 'preserve', 'shape']"
1115,Spanning tree,"['graph', 'edge', 'tree']"
1116,Gaussian elimination,"['arithmetic mean', 'arithmetic mean square', 'remainder']"
1117,Vanish at infinity,"['point', 'space', 'distance']"
1118,Curve fitting,"['data set', 'curve', 'fit']"
1119,Convex function,"['continuous', 'interval', 'function']"
1120,Random matrix,"['uniform distribution', 'matrix', 'element']"
1121,Convergent series,"['converge', 'number', 'sequence']"
1122,Hamming bound,"['set', 'curve', 'function']"
1123,Electric generator,"['device', 'energy', 'convert']"
1124,Compact operator on Hilbert space,"['Hilbert space', 'operator', 'bounded']"
1125,Collatz conjecture,"['line', 'point', 'line segment']"
1126,Cayley–Hamilton theorem,"['theorem', 'proof', 'concept']"
1127,Least-squares spectral analysis,"['Frequency content', 'signal', 'method']"
1128,Lagrange's identity,"['map', 'function', 'number']"
1129,Taxicab geometry,"['vehicle', 'transport', 'cab']"
1130,Annihilator (ring theory),"['ring', 'subring', 'ring property']"
1131,If and only if,"['if', 'only if']"
1132,Pivot element,"['line', 'point', 'line segment']"
1133,Descartes' rule of signs,"['rule of signs', 'prime number']"
1134,Moment (mathematics),"['moment', 'inertia', 'mass']"
1135,Inversion (discrete mathematics),['Inverse operation']
1136,Ring homomorphism,"['ring', 'map', 'ring theory']"
1137,Canonical basis,"['set', 'plane', 'point']"
1138,Noncommutative ring,"['commutativity', 'ring', 'element']"
1139,Covariant derivative,"['covariant derivative', 'covariant function']"
1140,Imaginary number,"['number theory', 'complex number']"
1141,Dilation (morphology),"['change', 'shape', 'size']"
1142,Maple (software),"['computer', 'system', 'algebra']"
1143,Rotation matrix,"['matrix', 'axis', 'rotate']"
1144,Absolute value,"['absolute value', 'number', 'concept']"
1145,Cube root,"['ratio', 'root', 'square']"
1146,Round-off error,"['deviation', 'value', 'true']"
1147,Complement,"['set', 'element', 'group']"
1148,Isomorphism theorems,"['theorem', 'identity', 'subset']"
1149,Ring (mathematics),"['group', 'element', 'arrange']"
1150,Leibniz formula for determinants,"['matrix', 'determinant', 'formula']"
1151,Row equivalence,"['set', 'column', 'row']"
1152,Parallel transport,"['transport mechanism', 'time', 'transfer']"
1153,Poisson sampling,"['sampling', 'technique', 'probability']"
1154,Separation of variables,"['technique', 'analyze', 'equation']"
1155,Fermat's principle,"['theorem', 'proof', 'concept']"
1156,Cross-correlation,"['measure', 'correlation', 'variable']"
1157,Algebra,"['system', 'symbol', 'operation']"
1158,History of mathematics,"['collection', 'work', 'mathematical']"
1159,Normal basis,"['set', 'point', 'line']"
1160,Integer,"['number', 'whole', 'number system']"
1161,Symmetric tensor,"['axis', 'symmetry', 'tensor']"
1162,Projective plane,"['x-axis', 'y-axis']"
1163,Homogeneity (disambiguation),"['homogeneous', 'symmetry', 'equivalence']"
1164,Covariance,"['measure', 'variability', 'random']"
1165,Singular submodule,"['subgroup', 'group', 'submodule']"
1166,Non-linear least squares,"['method', 'solve', 'equation']"
1167,Pseudo-reductive group,['group and element']
1168,Data compression,['Data compression']
1169,Direct sum,"['arithmetic mean', 'sum']"
1170,QR decomposition,"['matrix', 'real number', 'number']"
1171,Cyclic subspace,"['tangent line', 'surface', 'sphere']"
1172,Eigendecomposition of a matrix,"['matrix', 'eigenvalue', 'row']"
1173,Nonnegative matrix,"['matrix', 'diagonal', 'element']"
1174,Altitude (triangle),"['line', 'triangle', 'vertices']"
1175,Generator (mathematics),"['current', 'device', 'produce']"
1176,List of theorems,"['theorem', 'collection', 'theorem']"
1177,Mutual exclusivity,"['property', 'set', 'element']"
1178,History of logarithms,"['natural logarithm', 'sequence', 'number']"
1179,Power iteration,"['operation', 'sequence', 'power']"
1180,Algebraic expression,"['expression', 'number', 'symbol']"
1181,Fixed point (mathematics),"['point', 'curve', 'gradient']"
1182,Cubic equation,"['coefficient', 'polynomial', 'equation']"
1183,Normal form (dynamical systems),"['set', 'system', 'state']"
1184,Antisymmetric tensor,"['tensor', 'symmetry', 'tensor product']"
1185,Determinant,['prime number']
1186,Minor (linear algebra),"['group', 'real number', 'subgroup']"
1187,Note-taking,"['process', 'information', 'record']"
1188,Scalar curvature,"['surface', 'measure', 'curvature']"
1189,Weyr canonical form,"['set', 'polygon', 'vertex']"
1190,Partial differential equation,"['differential equation', 'partial differential equation']"
1191,Analytic geometry,"['curve', 'theory', 'geometry']"
1192,Point-biserial correlation coefficient,"['measure', 'vector', 'correlation']"
1193,Linear group,"['group', 'element', 'elemental']"
1194,Radius,"['diameter', 'circle', 'length']"
1195,Operator theory,"['operator theory', 'mathematical analysis']"
1196,Schrödinger equation,"['differential equation', 'medium', 'particle']"
1197,Polar decomposition,"['encoding', 'signal', 'polarization']"
1198,Well-posed problem,"['problem', 'solution', 'unique']"
1199,Product rule,"['product', 'quantity', 'rule']"
1200,Fractal,"['set', 'point', 'repeat']"
1201,Order of operations,"['order', 'sequence', 'operation']"
1202,QR algorithm,"['algorithm', 'recursion', 'function']"
1203,ALGOL 58,"['recursion', 'function', 'function call']"
1204,Matrix multiplication algorithm,"['matrix', 'multiply', 'method']"
1205,Fibonacci,"['number', 'sequence', 'pattern']"
1206,Orthographic projection,"['surface', 'plane', 'projection']"
1207,Scalar projection,"['vector', 'plane', 'projection']"
1208,Least-squares function approximation,"['function', 'minimize', 'difference']"
1209,Binary relation,['binary operator']
1210,Null vector,"['y-intercept', 'x-axis']"
1211,Circle,"['tangent', 'figure', 'end']"
1212,Kernel (linear algebra),['vector space']
1213,Dirichlet eigenvalue,"['eigenvalue', 'eigenvector', 'ratio']"
1214,Cayley graph,"['directed line', 'graph', 'edge']"
1215,Square,"['length', 'side', 'figure']"
1216,Smooth maximum,"['point', 'curve', 'value']"
1217,Vector algebra,"['vector space', 'system', 'equation']"
1218,Chinese remainder theorem,"['theorem', 'proof', 'concept']"
1219,Code,"['bit', 'sequence', 'bit rate']"
1220,Riffle shuffle permutation,"['set', 'element', 'permutation']"
1221,Comparative advantage,"['country', 'measure', 'advantage']"
1222,Band matrix,"['matrix', 'rank', 'element']"
1223,Junction Grammar,"['subject', 'object', 'conjunction']"
1224,Complex multiplication,"['complex number', 'multiplication']"
1225,Rotation formalisms in three dimensions,"['kinematics', 'motion', 'space']"
1226,Partial fraction decomposition,"['partial fraction', 'fraction', 'multiply']"
1227,Enigma machine,"['cipher', 'machine', 'encipher']"
1228,Linear interpolation,"['function', 'transform', 'interpolate']"
1229,Shuffling,"['probability', 'distribution', 'and sampling']"
1230,Deviation (statistics),['a measure of the spread of a population']
1231,Exponential decay,"['time', 'function', 'decrease']"
1232,Dimension,"['measure', 'distance', 'time']"
1233,Doubly stochastic matrix,['stochastic matrix']
1234,Sobolev inequality,"['bounded', 'solution', 'function']"
1235,Cardinality,"['number', 'divisor', 'number']"
1236,Axis mundi,"['axis', 'Earth', 'rotate']"
1237,Recursive language,"['recursion', 'language', 'arithmetic']"
1238,Spectrum of a matrix,"['set', 'element', 'matrix']"
1239,Sensitivity analysis,"['sensitivity', 'model', 'change']"
1240,Wavelet transform,"['transform', 'frequency', 'preserve']"
1241,Scattering,"['probability', 'process', 'random']"
1242,Symmetry,"['set', 'mirror', 'image']"
1243,Abstraction (mathematics),['a mathematical concept that is not a real object']
1244,Long division,['division by zero']
1245,Basia,"['syllable', 'meter', 'rhythm']"
1246,Leading-order term,"['term', 'series', 'term']"
1247,Nearest neighbor search,"['algorithm', 'algorithmic', 'math']"
1248,Fredholm determinant,"['matrix', 'determinant', 'matrix multiplication']"
1249,Antiunitary operator,"['converge', 'solution', 'function']"
1250,Minkowski addition,"['addition', 'quantity', 'operation']"
1251,Trace theory,"['kinematics', 'trajectories', 'medium']"
1252,Stress (mechanics),"['stress', 'force', 'body']"
1253,Parallel (geometry),"['line', 'parallel', 'line segment']"
1254,Axiomatic system,"['proof', 'axiom', 'system']"
1255,List of important publications in mathematics,"['list', 'publication', 'mathematics']"
1256,Cam,"['convex combination', 'curve', 'combination']"
1257,Constant function,"['zero', 'function', 'equal']"
1258,Projection-slice theorem,"['theorem', 'proof', 'concept']"
1259,Sesquilinear form,"['polynomial', 'curve', 'combination']"
1260,Einstein field equations,"['differential equation', 'motion', 'body']"
1261,Distance matrix,"['distance matrix', 'graph', 'point']"
1262,Anti-diagonal matrix,"['matrix', 'diagonal', 'element']"
1263,Giuseppe Peano,"['number', 'mathematician', 'concept']"
1264,Reflection group,"['group', 'mirror', 'element']"
1265,Complex conjugate representation,"['complex number', 'representation']"
1266,Inverse hyperbolic functions,"['hyperbolic function', 'inverse hyperbolic function']"
1267,Representation theory,"['theory of structure', 'mathematical object']"
1268,Apollonius of Perga,"['arithmetic', 'geometry', 'and algebra']"
1269,Natural logarithm,"['digit', 'number', 'ratio']"
1270,Root (disambiguation),"['coefficient', 'polynomial', 'root']"
1271,Symmetry (geometry),"['set', 'mirror', 'figure']"
1272,Iteration,"['process', 'repetition', 'execution']"
1273,Geometric progression,"['number', 'step', 'sequence']"
1274,Complexification,"['entropy', 'system', 'interact']"
1275,Graph of a function,"['graph', 'function', 'representation']"
1276,Laplace distribution,"['distribution', 'mean', 'variance']"
1277,Low basis theorem,"['theorem', 'proof', 'concept']"
1278,Matroid rank,"['symmetry', 'degree', 'group']"
1279,Scientific notation,"['system', 'number', 'write']"
1280,Invariant (mathematics),"['change', 'changeable', 'object']"
1281,Quotient rule,"['product', 'quotient', 'sum']"
1282,Logical matrix,"['product', 'matrix', 'vector']"
1283,Absorption law,"['law', 'physics', 'concept']"
1284,Identity function,['identity of a function']
1285,Convergence of random variables,"['property', 'probability', 'event']"
1286,Pseudovector,"['line segment', 'vector', 'segment']"
1287,Inverse problem,"['problem', 'solution', 'problem']"
1288,Orientation character,"['character', 'character', 'language']"
1289,Trinomial expansion,"['polynomial', 'function', 'graph']"
1290,Lowest common denominator,"['LCMD', 'LCMD(x)', 'LCMD(y)', 'LCMD(z)']"
1291,Lemma (mathematics),"['theorem', 'statement', 'theorem']"
1292,Axiom,"['statement', 'truth', 'statement']"
1293,String (computer science),"['number', 'character', 'sequence']"
1294,Grandi's series,"['prime number', 'order', 'sequence']"
1295,Characteristic equation (calculus),"['line', 'point', 'interest']"
1296,Unitary operator,"['operator', 'function', 'argument']"
1297,Knowledge economy,"['knowledge', 'system', 'production']"
1298,Change of variables,"['change', 'value', 'variable']"
1299,Transformation semigroup,"['group', 'transformation', 'group member']"
1300,Symmetric group,"['group', 'element', 'subgroup']"
1301,Multiplicative inverse,"['inverse', 'function', 'multiplicative']"
1302,Closure (mathematics),"['set', 'element', 'group']"
1303,Finite set,"['set', 'element', 'group']"
1304,Block-stacking problem,"['problem', 'set', 'order']"
1305,Weighing matrix,"['matrix', 'weight', 'determine']"
1306,Inductive reasoning,"['deductive reasoning', 'logic']"
1307,Linear system,"['time', 'function', 'equation']"
1308,Characteristic (algebra),"['property', 'element', 'set']"
1309,Euclidean distance,"['measure', 'distance', 'point']"
1310,Basis (linear algebra),"['set', 'vector', 'vector space']"
1311,Sobolev space,"['set', 'function', 'mapping']"
1312,Generation of primes,"['prime numbers', 'number theory']"
1313,Isomorphism,"['isomorphism', 'property', 'set']"
1314,Creation and annihilation operators,"['operator', 'create', 'object']"
1315,Hölder's inequality,"['f(x)', 'function', 'x']"
1316,Perfect number,"['number', 'divisor', 'remainder']"
1317,Constant term,"['term', 'term', 'term']"
1318,Multiplication sign,['Multiplication']
1319,Jordan normal form,"['set', 'element', 'group']"
1320,Variational inequality,"['product', 'condition', 'difference']"
1321,Data transformation (statistics),"['operation', 'set', 'data']"
1322,Basic reproduction number,"['ratio', 'number', 'chromosome']"
1323,Integration by substitution,"['method', 'solve', 'equation']"
1324,Central line (geometry),"['centre', 'line', 'figure']"
1325,Involutory matrix,"['matrix', 'matrix multiplication', 'matrix']"
1326,Set (mathematics),"['collection', 'object', 'number']"
1327,Baden Powell (mathematician),"['symplectic geometry', 'symplectic manifold', 'symplectic geometry']"
1328,Dirac equation,"['field', 'solution', 'equation']"
1329,Titanic (1997 film),"['ship', 'sink', 'math']"
1330,Unit vector,"['vector', 'set', 'sum']"
1331,Einstein notation,"['notation', 'function', 'inverse']"
1332,Sign (mathematics),"['negative number', 'sign', 'signum']"
1333,Trigonometric functions,"['set', 'number', 'operation']"
1334,Logarithmic derivative,"['ratio', 'number', 'logarithm']"
1335,Cauchy–Binet formula,"['field', 'polynomial', 'inverse']"
1336,Polynomial remainder theorem,"['theorem', 'proof', 'concept']"
1337,Glide reflection,"['wave', 'reflection', 'surface']"
1338,Initial condition,"['set', 'condition', 'process']"
1339,Neural decoding,"['process', 'computer', 'understand']"
1340,Quadrant (plane geometry),['quadrant (geometry)']
1341,Irreducible polynomial,"['coefficient', 'sign', 'polynomial']"
1342,Flatland,"['surface', 'feature', 'dimension']"
1343,Algebraic equation,"['function', 'system', 'equation']"
1344,Vertex (graph theory),"['graph', 'point', 'line']"
1345,Robin boundary condition,"['set', 'surface', 'point']"
1346,Quantum information,"['quantum state', 'system', 'description']"
1347,Head/tail breaks,"['reversal', 'direction', 'trend']"
1348,De Moivre's theorem,"['theorem', 'geometry', 'theorem']"
1349,Signature (logic),"['logical consequence', 'statement', 'truth']"
1350,Transfinite induction,"['set', 'element', 'group']"
1351,Law of sines,"['ratio', 'circle', 'diameter']"
1352,Multivariate statistics,['multivariate analysis']
1353,Matrix multiplication,"['matrix', 'multiplication']"
1354,Monomial,"['number', 'group', 'number']"
1355,Cis (mathematics),"['ratio', 'ratios', 'number']"
1356,Radiometric dating,"['isotopic ratio', 'parent mineral', 'daughter mineral']"
1357,Extrapolation,"['function', 'estimate', 'technique']"
1358,Google matrix,"['matrix', 'matrix multiplication']"
1359,Arc length,"['arc', 'length', 'angle']"
1360,Translation (geometry),"['translation', 'point', 'space']"
1361,Linear independence,"['property', 'function', 'independent']"
1362,Probability,"['probability', 'event', 'measure']"
1363,Flow network,"['graph theory', 'directed graph', 'node']"
1364,Representation (mathematics),"['mathematical object', 'represent', 'object']"
1365,Level-set method,"['minimization', 'function', 'sum']"
1366,Subspace topology,['topology of a subspace']
1367,Line chart,"['time', 'graph', 'change']"
1368,Fusion power,"['fusion', 'reaction', 'energy']"
1369,Ball (mathematics),"['surface', 'volume', 'spherical']"
1370,Error,"['deviation', 'value', 'true']"
1371,Diagonalizable group,"['group', 'point', 'line']"
1372,Invariance of domain,"['property', 'set', 'object']"
1373,Radical extension,"['polynomial', 'root', 'square']"
1374,Matrix unit,"['length', 'unit', 'length unit']"
1375,Partition function (mathematics),"['set', 'function', 'number']"
1376,Rhombus,"['polygon', 'side', 'equal']"
1377,Coset,"['coset', 'coset group', 'coset product']"
1378,Polar coordinate system,"['x', 'y', 'z']"
1379,Commutative algebra,"['group', 'element', 'arrange']"
1380,Mindset,"['set', 'belief', 'nature']"
1381,Indexed family,"['family', 'function', 'space']"
1382,Nakayama's lemma,"['set', 'element', 'subset']"
1383,Fundamental theorem of algebra,"['group', 'subgroup', 'identity element']"
1384,Area of a circle,"['area', 'circle', 'measure']"
1385,Constrained optimization,"['function', 'problem', 'solution']"
1386,Cartesian product,"['product', 'vector', 'vector product']"
1387,Intermediate value theorem,"['theorem', 'proof', 'concept']"
1388,Music and mathematics,"['system', 'rule', 'express']"
1389,Factor analysis,"['Data set', 'statistical technique', 'remove']"
1390,Spectral density,"['absorption coefficient', 'frequency', 'wave']"
1391,Toral subalgebra,"['subalgebra', 'toric', 'algebra']"
1392,Molecular dynamics,"['kinematics', 'kinematics', 'molecular dynamics']"
1393,Dyad (sociology),"['pair', 'individual', 'couple']"
1394,Square root of 2,"['area', 'ratio', 'rectangle']"
1395,Linear inequality,"['set', 'number', 'inequality']"
1396,Flow (mathematics),"['change', 'state', 'system']"
1397,N-gram,"['mass', 'unit', 'unit of force']"
1398,Minimum spanning tree,"['graph', 'edge', 'tree']"
1399,Compound interest,"['compound', 'interest', 'time']"
1400,Shot grouping,"['set', 'sequence', 'shot']"
1401,Coding theory,"['coding theory', 'theory of computation']"
1402,Principal value,"['prime number', 'number', 'sum']"
1403,Elimination theory,"['recursion', 'set', 'theory']"
1404,Conservation law,"['change', 'rate', 'change']"
1405,Cyclic permutation,"['permutation', 'sequence', 'reverse']"
1406,Right triangle,"['length', 'side', 'triangle']"
1407,Reverse Polish notation,"['digit', 'number', 'system']"
1408,Tridiagonal matrix,"['matrix', 'row', 'column']"
1409,Drinfeld module,"['group', 'element', 'rank']"
1410,Invariant subspace,"['subspace', 'transformation', 'invariant']"
1411,Sampling (statistics),"['population', 'sample', 'sample size']"
1412,Unitary matrix,"['matrix', 'vector', 'combination']"
1413,Null hypothesis,"['hypothesis', 'true', 'test']"
1414,Inverse trigonometric functions,"['inverse trigonometric functions', 'sine', 'cosine']"
1415,Dimensional analysis,"['analyzing', 'technique', 'data']"
1416,Group (mathematics),"['set', 'object', 'combination']"
1417,Translation,"['change', 'direction', 'vector']"
1418,Jacobi operator,"['complex number', 'real number']"
1419,Dependent type,"['object', 'type', 'manipulate']"
1420,Orthogonal polynomials,"['polynomial', 'root', 'distinct']"
1421,Distance from a point to a line,"['measure', 'distance', 'point']"
1422,Mind map,"['diagram', 'concept', 'relationship']"
1423,Timeline of manifolds,"['spacetime', 'point', 'sequence']"
1424,Rational function,"['real number', 'function', 'sum']"
1425,Addition,"['operation', 'mathematical', 'concept']"
1426,Commutative ring,"['group', 'element', 'isomorphic']"
1427,Inverse function theorem,"['theorem', 'proof', 'concept']"
1428,Carl Friedrich Gauss,"['theorem', 'theorem proving', 'mathematician']"
1429,Venn diagram,"['set', 'number', 'diagram']"
1430,Projection formula,"['area', 'surface', 'projection']"
1431,Feasible region,"['set', 'coordinate', 'space']"
1432,Parallel projection,"['surface', 'plane', 'projection']"
1433,Logarithm of a matrix,"['matrix', 'element', 'original']"
1434,Partial least squares regression,"['estimation', 'model', 'parameter']"
1435,Binary code,"['binary number', 'digit', 'arithmetic']"
1436,Incomplete LU factorization,"['LU decomposition', 'incomplete LU factorization']"
1437,Geometric transformation,"['change', 'shape', 'figure']"
1438,Quadratic equation,"['coefficient', 'polynomial', 'equation']"
1439,Linear fractional transformation,"['operation', 'convert', 'number']"
1440,Cramer's rule,"['rule', 'thumb', 'mathematician']"
1441,Mersenne prime,"['prime number', 'number', 'concept']"
1442,Prime number,"['prime number', 'number', 'concept']"
1443,Least-squares adjustment,"['fit', 'model', 'data']"
1444,Index (economics),"['change', 'time', 'variable']"
1445,Common Core,"['set', 'curriculum', 'standard']"
1446,Divisor,"['product', 'number', 'number system']"
1447,Cauchy theorem,"['theorem', 'continuous', 'function']"
1448,Cauchy–Schwarz inequality,"['tangent', 'curve', 'normal']"
1449,Homological algebra,"['group', 'homomorphism', 'element']"
1450,Parallelepiped,"['polygon', 'length', 'width']"
1451,Thompson sampling,"['mean', 'population', 'sample']"
1452,Gödel's incompleteness theorems,"['theorem', 'logic', 'theorem']"
1453,Approximation,"['model', 'problem', 'solution']"
1454,Conjugate prior,"['a priori probability', 'probability theory']"
1455,Formal language,"['set', 'rule', 'language']"
1456,Universal property,"['property', 'property of', 'object']"
1457,Weyl tensor,"['field', 'vector', 'combination']"
1458,Skew-symmetric matrix,"['skewed matrix', 'eigenvalue', 'eigenvector']"
1459,Exterior algebra,"['set', 'element', 'group']"
1460,Number,"['number', 'whole', 'number system']"
1461,Law of cosines,['cosine rule']
1462,Guitar tunings,"['pitch', 'string', 'set']"
1463,Jacobi identity,"['complex number', 'real number']"
